Title,Author,Genre,Notes
Eisenhorn Omnibus,"Abnett, Dan",WH40K,"Inquisitor Eisenhorn does w40k inquisitor things. Subpar mystery, nice atmosphere"
First and Only,"Abnett, Dan",WH40K,"W40K but about the normal human soldiers, not space marines. a fun romp"
Horus Rising,"Abnett, Dan",WH40K,W40K Space marine Horus Heresy pt 1
Prospero Burns,"Abnett, Dan",WH40K,A thousand sons but from the POV of the Space Wolves Awooooooooo
The Happiness Advantage,"Achor, Shawn",Nonfiction,Informative book on how pursuing happiness benefits your entire life
Prediction machines: the simple ecopnomics of Artificial Intelligence,"Agrawal, Ajay et al",Nonfiction,Great recource about adopting AI into business and the things to consider thereof
Fascism,"Albright, Madeline",Nonfiction,Good information about the rising trend of fascism in the world today
Unsong,"Alexander, Scott",Fantasy,"Alt history, angels are real and the names of God cause strange things to happen"
The Weight of Our Sky,"Alkaf, Hanna",Historical Fiction,Malaysian race riots of 1969 from the perspective of a little girl with OCD. VERY GOOD OCD portrayal
The Art of the Con,"Amore, Anthony M",Nonfiction,"Art cons, forgeries and thefts. Interesting read!"
Roboute Guilliman: Lord of Ultramar,"Annandale, David",WH40K,"The Ultramarines take some world or smth, all about Rowboat Girlyman"
Our Wives Under the Sea,"Armfield, Julia",Horror,"Deep sea explorer comes back wrong to her wife, turns into a deep sea fish"
Mosquitoland,"Arnold, David",Literature,Mim the goblin teenager goes on an adventure to rescue her mom
Foundation Trilogy,"Asimov, Issiac",Science Fiction,"Wonderful triliogy with a very detailed universe. Books read like an intersteller poker game, with plans on plans on plans"
"i, Robot","Asimov, Issiac",Science Fiction,Amazing collection of short stories about the robot takeover
The Caves of Steel,"Asimov, Issiac",Science Fiction,Sci-fi murder mystery
Bunny,"Awad, Mona",Literature,Mean Girls explode rabbits into frankenstein boyfriends
The Windup Girl,"Bacigalupi, Paolo",Science Fiction,Calorie exec in climate-starved Thailand falls in love with a robot prostitute during a coup
Consider Phlebas,"Banks, Iain M",Science Fiction,Shapeshifing special agent goes in pursuit of an AI escaped to a dead world
